,public,name,url
188,True,WonyoungCho/CUDA,https://api.github.com/repos/WonyoungCho/CUDA
189,True,alessandrocuda/aima-python,https://api.github.com/repos/alessandrocuda/aima-python
190,True,phohenecker/switch-cuda,https://api.github.com/repos/phohenecker/switch-cuda
191,True,BarracudaPff/FLCC-Dataset-Description,https://api.github.com/repos/BarracudaPff/FLCC-Dataset-Description
192,True,adhamelkhouly/cuda_compression,https://api.github.com/repos/adhamelkhouly/cuda_compression
193,True,zhy1001/histEq_CUDA_vs2019,https://api.github.com/repos/zhy1001/histEq_CUDA_vs2019
194,True,Erkaman/Awesome-CUDA,https://api.github.com/repos/Erkaman/Awesome-CUDA
195,True,AlexMetsai/Game-of-Life-CUDA,https://api.github.com/repos/AlexMetsai/Game-of-Life-CUDA
196,True,cudakeer808/betaflight,https://api.github.com/repos/cudakeer808/betaflight
197,True,auld1/Lucas-Lehmer-CUDA,https://api.github.com/repos/auld1/Lucas-Lehmer-CUDA
198,True,EpiCompBio/Barracudas,https://api.github.com/repos/EpiCompBio/Barracudas
199,True,mp3guy/ICPCUDA,https://api.github.com/repos/mp3guy/ICPCUDA
200,True,thien94/ORB_SLAM2_CUDA,https://api.github.com/repos/thien94/ORB_SLAM2_CUDA
201,True,jimbofreedman/barracuda-web,https://api.github.com/repos/jimbofreedman/barracuda-web
203,True,KolorowyAleksander/cuda-ships,https://api.github.com/repos/KolorowyAleksander/cuda-ships
204,True,fedem96/CUDA_Nearest_Neighbors,https://api.github.com/repos/fedem96/CUDA_Nearest_Neighbors
205,True,Forceflow/cuda_voxelizer,https://api.github.com/repos/Forceflow/cuda_voxelizer
207,True,chrischoy/pytorch-custom-cuda-tutorial,https://api.github.com/repos/chrischoy/pytorch-custom-cuda-tutorial
208,True,ttsiodras/renderer-cuda,https://api.github.com/repos/ttsiodras/renderer-cuda
209,True,CudaText-addons/cuda_fountain_helper,https://api.github.com/repos/CudaText-addons/cuda_fountain_helper
210,True,omnia-md/conda-recipes-cuda,https://api.github.com/repos/omnia-md/conda-recipes-cuda
211,True,ericdow/cuda_by_example,https://api.github.com/repos/ericdow/cuda_by_example
212,True,CudaText-addons/cuda_markdown_preview,https://api.github.com/repos/CudaText-addons/cuda_markdown_preview
213,True,lablup/backend.ai-accelerator-cuda,https://api.github.com/repos/lablup/backend.ai-accelerator-cuda
215,True,BarracudaPff/flcc-check,https://api.github.com/repos/BarracudaPff/flcc-check
216,True,harlowja/pycuda,https://api.github.com/repos/harlowja/pycuda
217,True,mrnorman/ADER-WENO-1D-CUDA,https://api.github.com/repos/mrnorman/ADER-WENO-1D-CUDA
218,True,cudawarped/fastai-notebooks,https://api.github.com/repos/cudawarped/fastai-notebooks
